吃	1950089
不错	1511485
味道	1465521
好	1342051
去	907570
好吃	812750
环境	745639
比较	684231
没有	672263
服务	661630
感觉	633084
人	612616
喜欢	585606
这家	521278
点	517848
店	475114
菜品	470124
说	456244
有点	425089
真的	395218
没	395167
非常	394048
特别	389592
推荐	371317
觉得	366934
朋友	359129
菜	352174
服务员	352122
做	352077
里面	325850
不是	315292
牛肉	286667
价格	278528
新鲜	278448
~	271044
成都	257308
口味	240915
小	236362
看	226200
老板	222120
想	216768
位置	213731
挺	210643
再	205635
下次	200262
一家	194413
装修	192721
两个	187194
火锅	183828
一下	180986
地方	176505
太	167655
买	167283
团购	165741
最后	165012
看到	164736
一点	164734
元	164323
辣	162235
里	161916
态度	160500
知道	159575
肉	159574
热情	156164
分量	155805
不会	153894
适合	151931
第一次	151622
超级	151085
家	150462
口感	148850
个人	143719
特色	143268
可能	142607
服务态度	142484
现在	141558
东西	141548
烤	141224
一次	141070
以后	140423
满意	138274
完	138121
体验	137910
起来	136962
之前	135902
一份	133560
应该	133551
干净	132835
确实	132446
过来	131947
今天	131813
选择	130025
排队	130001
汤	129938
来说	129022
总体	127082
高	126691
这次	126550
值得	126235
出来	125341
他家	125046
已经	124428
生意	123814
后	123672
每次	123538
喝	123284
鱼	122761
下	122653
找	120101
性价比	116028
锅底	116023
以前	115542
加	115221
带	113451
少	113362
时间	112626
方便	111489
大家	110991
其实	110587
店里	110012
挺好	108704
走	108469
虾	107982
便宜	107966
舒服	106056
好找	104441
附近	103565
效果	103234
经常	101521
味	100989
串串	98995
那种	98984
再来	98606
套餐	98312
中午	97926
这种	97251
很大	96942
完全	96802
香	93942
饭	93930
老师	93726
希望	93010
晚上	92053
开	91833
一起	91627
整体	91170
不好	90941
不要	90896
煮	90467
不能	90383
坐	89984
发现	89820
划算	89732
活动	88674
风格	88127
送	87777
旁边	87662
还会	87430
需要	87064
算	87060
一定	85879
本来	85353
建议	85272
蛮	84550
贵	84537
蛋糕	84355
直接	84211
吃饭	83474
老	83229
太多	83073
点评	82650
很棒	82556
面	81323
行	79864
简直	79239
店面	79156
霸王餐	79155
外面	79056
专业	78966
足	78829
不太	78521
嫩	78282
小吃	77256
小时	77041
还好	76848
非常好	76276
好多	76077
选	75947
海鲜	75913
赞	75482
好喝	75033
真心	74995
问	74711
餐厅	74558
几个	74235
巴适	73983
大众点评	71909
号	70928
棒	70607
好像	70536
店家	70270
招牌	69793
居然	69419
感谢	69350
进去	68940
差不多	68507
消费	67812
麻辣	66731
门口	66330
鸡	66273
免费	66013
让我	65786
爱	65607
整个	65602
素菜	64582
久	64490
基本	64477
不算	64332
哈哈哈	64047
只能	63376
水果	63147
试试	63125
饮料	61752
差	61657
相当	61591
不够	61550
反正	61150
头发	60929
客人	60823
耐心	60727
土豆	60640
后面	60528
提前	60401
后来	60341
蘸	60257
快	60029
稍微	60028
排骨	60004
实惠	59912
芝士	59586
预约	59574
自助	59439
实在	59261
正宗	58828
甜品	58746
甜	58668
问题	58377
三个	58230
真是	58063
让人	57873
丰富	57356
算是	56720
酥	56607
干	56566
看着	56450
失望	56186
上面	56111
几次	55968
牛排	55700
哒	54847
还要	54665
店员	54526
咖啡	54463
下午	53977
不到	53733
最近	53464
烤肉	52917
第二次	52783
沙拉	52551
不大	52388
配	52193
终于	52150
好评	52132
面包	52105
锅	52082
好看	51984
尝试	51727
包间	51617
过去	51571
桌子	51497
开心	51373
不用	51322
烧烤	50692
寿司	50153
机会	50077
合适	49693
多次	49157
油	48910
没什么	48811
换	48704
些	48556
贴心	47912
玩	47836
食材	47717
人均	47706
烫	47565
很快	47406
以为	47403
找到	47117
看起来	47056
肥肠	46936
速度	46795
评价	46748
冰粉	46746
棒棒	46705
专门	46674
什么的	46489
完了	46412
热	46253
顾客	45853
种类	45769
放	45613
刚	45372
二楼	45289
介绍	45264
清淡	45224
周末	45219
是不是	45204
路过	45113
番茄	44814
酱	44811
新	44658
一碗	44501
茶	44454
一般般	44335
品种	44168
左右	44121
下来	43848
奶茶	43837
肉质	43761
按摩	43673
!	43557
唯一	43476
炒	43468
名字	43376
必须	43320
挺不错	43314
拍照	43208
不想	43137
大概	43136
刚好	43096
搭配	43092
样子	43017
技术	42994
过程	42920
毕竟	42825
当时	42716
停车	42696
肝	42611
先	42581
广场	42485
颜色	42368
当然	42227
小朋友	42078
肯定	41918
还行	41878
说是	41723
点菜	41486
卖	41366
拌	41347
一种	41346
都会	41256
听	41239
惊艳	40933
钱	40789
原因	40782
一口	40757
准备	40710
宝宝	40579
中规中矩	40546
近	40290
一杯	40284
够	40237
卫生	40058
一楼	40012
写	39971
拍	39796
很少	39784
店铺	39695
可爱	39603
水	39525
不少	39413
估计	39371
绝对	39256
小伙伴	39144
品质	39100
手法	39056
很足	38976
精致	38944
卷	38920
孩子	38904
每个	38840
商家	38822
烤鱼	38769
菜单	38718
尤其	38716
香味	38656
粉	38520
不行	38449
粥	38424
更好	38357
美味	38348
开业	38338
随便	38033
美女	37980
不一样	37928
印象	37920
正好	37877
最好	37694
排	37598
喊	37537
100	37506
公司	37384
腻	37343
超	37170
美食	37170
蔬菜	37112
逛	37103
普通	36967
豆花	36943
电影	36920
打包	36680
约	36477
去过	36474
平时	36193
容易	36049
座位	35915
火锅店	35755
毛肚	35519
感受	35386
越	35309
不同	35246
小姐姐	35150
弄	35032
设计	34979
可惜	34918
红糖	34879
花	34708
小贵	34684
浓郁	34658
工作人员	34566
用餐	34502
人气	34485
有个	34452
对面	34397
上来	34318
冷	34300
块	34251
到位	34249
米饭	34232
同事	34143
钵	34130
分钟	34080
优惠	33789
必点	33745
满足	33735
继续	33722
晓得	33542
披萨	33454
刚刚	33434
倒是	33352
楼	33336
剪	33317
调料	33290
券	33189
夏天	33158
所有	33087
下面	33081
聚会	33051
外卖	33037
加上	32887
进门	32884
方面	32883
入口	32839
根本	32792
搞	32648
咯	32619
关键	32576
️	32431
师傅	32183
大众	32130
空调	32070
很小	31913
越来越	31839
一如既往	31745
网上	31654
米线	31645
跑	31577
吃火锅	31548
小龙虾	31477
店内	31353
技师	31320
质量	31278
重要	31234
冰淇淋	31226
属于	31208
辣味	31180
糯	31162
聚餐	31121
安静	31034
奶油	30991
料	30974
肥牛	30874
明显	30780
酸奶	30780
芒果	30743
请	30633
提供	30618
简单	30607
光顾	30535
照片	30461
两次	30439
拉面	30181
听说	30134
全是	30036
这是	30003
酒店	29985
汤锅	29982
酒	29839
主动	29787
鸡肉	29759
四个	29567
人多	29552
基本上	29550
干锅	29502
路	29455
强烈推荐	29428
要求	29417
饮品	29398
看见	29345
帮	29201
用心	29166
好好	29084
细心	29083
周到	29007
情况	28995
酸	28889
川菜	28819
没想到	28734
我都	28726
团	28714
几乎	28627
一点点	28624
打电话	28510
谢谢	28422
楼下	28391
软	28364
原来	28304
下去	28271
接受	28189
新开	28146
好久	28134
安逸	28115
发型师	28079
兔	28077
是因为	28000
量	27935
有人	27907
适中	27903
住	27870
晚	27704
配菜	27696
一天	27624
看看	27611
啤酒	27580
记得	27546
中心	27522
老公	27505
据说	27493
舒适	27434
重	27412
^	27411
自然	27406
安排	27405
爱吃	27380
上次	27337
啥子	27301
期待	27188
炒饭	27174
尝尝	27169
油腻	27145
回来	27082
这点	27050
半天	27041
辣椒	26989
份	26963
商场	26909
